Results for BoostingAdditiveRegressionClassifier
Ranged attributes (zero means exclude from model)
Attribute	Importance
position	431.83026294839465
keywords	222.40729466956174
length	79.9294554433809
sentiment	9.590789916528253
quoted	4.973449205644535
links	0.918513177379795
num_of_threads	0.6310070400979493
out_degree	0.3121185488618162
betweenness	0.0
in_degree	0.0
betweenness_sent	0.0
in_degree_sent	0.0
out_degree_sent	0.0
utility	0.0
Post count	Quantile 10%	Quantile 50%	Quantile 90%
108	0.04014598540145986	0.8868613138686131	0.03284671532846717
109	0.040000000000000036	0.8872727272727273	0.029090909090909056
110	0.03985507246376807	0.8876811594202898	0.032246376811594146
111	0.03971119133574008	0.8880866425992779	0.028880866425992857
112	0.03956834532374098	0.8884892086330936	0.02877697841726612
113	0.03942652329749097	0.8888888888888888	0.028673835125448077
114	0.03928571428571426	0.8892857142857142	0.02857142857142858
115	0.039145907473309594	0.8896797153024911	0.028469750889679735
116	0.038652482269503574	0.8900709219858156	0.028368794326241176
117	0.035335689045936425	0.8904593639575972	0.028268551236749095
118	0.03838028169014096	0.8908450704225352	0.028169014084507005
119	0.038596491228070184	0.8912280701754386	0.028070175438596467
120	0.038461538461538436	0.8916083916083916	0.027972027972028024
121	0.0383275261324042	0.89198606271777	0.027874564459930307
122	0.03819444444444453	0.8923611111111112	0.02777777777777768
123	0.03460207612456745	0.8927335640138409	0.02768166089965396
124	0.037931034482758585	0.8931034482758621	0.027586206896551668
125	0.03608247422680411	0.8917525773195876	0.029209621993127155
126	0.03424657534246578	0.8904109589041096	0.03082191780821919
127	0.03412969283276457	0.8907849829351536	0.030716723549488067
128	0.03401360544217691	0.891156462585034	0.027210884353741527
129	0.03389830508474578	0.8915254237288136	0.027118644067796516
130	0.03378378378378377	0.8918918918918919	0.027027027027027084
131	0.03367003367003374	0.8922558922558923	0.026936026936026924
132	0.033557046979865834	0.8926174496644296	0.02684563758389258
133	0.03344481605351168	0.8929765886287625	0.026755852842809458
134	0.033333333333333326	0.8933333333333333	0.026666666666666727
135	0.03654485049833889	0.893687707641196	0.02657807308970106
136	0.03642384105960261	0.8940397350993378	0.026490066225165587
137	0.03300330033003307	0.8910891089108911	0.02640264026402639
138	0.03289473684210531	0.8914473684210527	0.02631578947368418
139	0.0360655737704918	0.8918032786885246	0.02622950819672132
140	0.03594771241830075	0.8921568627450981	0.02614379084967311
141	0.03583061889250805	0.8925081433224755	0.026058631921824116
142	0.032467532467532534	0.8896103896103896	0.025974025974025983
143	0.032362459546925515	0.889967637540453	0.02588996763754048
144	0.032258064516129115	0.8903225806451613	0.02580645161290318
145	0.032154340836012874	0.8906752411575563	0.025723472668810254
146	0.034935897435897534	0.8910256410256411	0.02564102564102555
147	0.03514376996805113	0.8913738019169329	0.022364217252396124
148	0.03343949044585981	0.8901273885350318	0.023885350318471388
149	0.031746031746031744	0.8888888888888888	0.025396825396825418
150	0.034810126582278444	0.8892405063291139	0.022151898734177222
151	0.034700315457413256	0.889589905362776	0.02208201892744477
152	0.03144654088050314	0.8867924528301887	0.02515723270440251
153	0.03144654088050314	0.889937106918239	0.02515723270440251
154	0.03144654088050314	0.8930817610062893	0.022012578616352196
155	0.03301886792452824	0.8946540880503144	0.02358490566037741
156	0.03144654088050314	0.8962264150943396	0.02515723270440251
157	0.03459119496855345	0.89937106918239	0.024842767295597423
158	0.03459119496855345	0.9025157232704403	0.022012578616352196
159	0.03144654088050314	0.9025157232704403	0.02515723270440251
160	0.03144654088050314	0.9056603773584906	0.022012578616352196
161	0.03144654088050314	0.9056603773584906	0.02515723270440251
162	0.03144654088050314	0.9088050314465409	0.022012578616352196
163	0.03459119496855345	0.9119496855345912	0.022012578616352196
164	0.03144654088050314	0.9119496855345912	0.022012578616352196
165	0.03459119496855345	0.9150943396226415	0.022012578616352196
166	0.03459119496855345	0.9150943396226415	0.022012578616352196
167	0.03459119496855345	0.9182389937106918	0.022012578616352196
168	0.03459119496855345	0.9182389937106918	0.022012578616352196
169	0.03301886792452824	0.9198113207547169	0.020440251572327095
170	0.03459119496855345	0.9213836477987422	0.022012578616352196
171	0.03459119496855345	0.9213836477987422	0.022012578616352196
172	0.03459119496855345	0.9245283018867925	0.018867924528301883
173	0.03144654088050314	0.9245283018867925	0.022012578616352196
174	0.03144654088050314	0.9245283018867925	0.022012578616352196
175	0.03459119496855345	0.9276729559748428	0.018867924528301883
176	0.03144654088050314	0.9276729559748428	0.022012578616352196
177	0.03144654088050314	0.9276729559748428	0.022012578616352196
178	0.03144654088050314	0.9308176100628931	0.018867924528301883
179	0.03144654088050314	0.9308176100628931	0.022012578616352196
180	0.03144654088050314	0.9308176100628931	0.022012578616352196
181	0.03144654088050314	0.9308176100628931	0.022012578616352196
182	0.03144654088050314	0.9339622641509434	0.018867924528301883
183	0.03144654088050314	0.9339622641509434	0.022012578616352196
184	0.03144654088050314	0.9339622641509434	0.022012578616352196
185	0.028301886792452824	0.9339622641509434	0.022012578616352196
186	0.03144654088050314	0.9371069182389937	0.018867924528301883
187	0.03144654088050314	0.9371069182389937	0.02169811320754711
188	0.03144654088050314	0.9371069182389937	0.022012578616352196
189	0.03144654088050314	0.9371069182389937	0.022012578616352196
190	0.03144654088050314	0.9371069182389937	0.022012578616352196
191	0.028301886792452824	0.9371069182389937	0.022012578616352196
192	0.03144654088050314	0.940251572327044	0.022012578616352196
193	0.03144654088050314	0.940251572327044	0.022012578616352196
194	0.03144654088050314	0.940251572327044	0.022012578616352196
